ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	geneID	Count	Contrast	Ontology	Direction
GO:0097659	nucleic acid-templated transcription	30/102	339/2798	1.46348405496269e-06	4.36384336388876e-05	ANXA3/APEX1/BCLAF1/CD81/CHP1/CPSF7/DDX39B/EIF4A3/ERC1/ERLIN2/FUS/HNRNPA2B1/HNRNPAB/HNRNPDL/HNRNPK/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/SNRPD3/SNX6/SRSF7/TARDBP/TFAM/XRCC6	30	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0010605	negative regulation of macromolecule metabolic process	31/102	360/2798	1.68152907335526e-06	4.59617946717105e-05	ADAR/APEX1/BCLAF1/BUB3/CAST/CHP1/CSK/DMD/EIF3E/EIF4A3/GLG1/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPR/HNRNPU/ITGB8/LIMS1/NPM1/NUP85/PA2G4/PARP1/PC/PTBP1/RAP1A/SNX6/SRP9/SRSF7/TARDBP/XRCC6	31	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0009892	negative regulation of metabolic process	33/102	400/2798	1.83743089107512e-06	4.63597947902031e-05	ADAR/APEX1/BCLAF1/BUB3/CAST/CHP1/CSK/DMD/EIF3E/EIF4A3/ERLIN2/GLG1/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPR/HNRNPU/IQGAP1/ITGB8/LIMS1/NPM1/NUP85/PA2G4/PARP1/PC/PTBP1/RAP1A/SNX6/SRP9/SRSF7/TARDBP/XRCC6	33	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051172	negative regulation of nitrogen compound metabolic process	20/102	173/2798	2.20205722663667e-06	4.98354138671992e-05	ADAR/APEX1/BCLAF1/EIF3E/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPR/HNRNPU/LIMS1/PA2G4/PARP1/PTBP1/SNX6/SRP9/SRSF7/TARDBP/XRCC6	20	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051252	regulation of RNA metabolic process	30/102	346/2798	2.27905856099997e-06	4.98354138671992e-05	ANXA3/APEX1/BCLAF1/CD81/CHP1/DDX39B/ERC1/ERLIN2/FUS/HNRNPA2B1/HNRNPAB/HNRNPDL/HNRNPK/HNRNPL/HNRNPR/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/PTBP1/SNX6/SRSF7/TARDBP/TFAM/XRCC6	30	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0010628	positive regulation of gene expression	22/102	206/2798	2.4503938564719e-06	5.02330740576739e-05	ADAR/BCLAF1/CD81/DDX39B/EIF4A3/ERLIN2/HGS/HNRNPAB/HNRNPK/HNRNPU/ILF2/ITGB8/LIMS1/MYO6/NPM1/NUP85/PARP1/PCBP1/SF3B1/TARDBP/TFAM/XRCC6	22	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006351	transcription, DNA-templated	29/102	332/2798	3.06946377906007e-06	5.92225952665707e-05	ANXA3/APEX1/BCLAF1/CD81/CHP1/CPSF7/DDX39B/EIF4A3/ERC1/ERLIN2/HNRNPA2B1/HNRNPAB/HNRNPDL/HNRNPK/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/SNRPD3/SNX6/SRSF7/TARDBP/TFAM/XRCC6	29	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0010558	negative regulation of macromolecule biosynthetic process	18/102	147/2798	3.33994733125185e-06	6.08612624805893e-05	ADAR/APEX1/BCLAF1/EIF3E/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPR/HNRNPU/LIMS1/PA2G4/PARP1/RAP1A/SNX6/SRP9/TARDBP/XRCC6	18	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0019219	regulation of nucleobase-containing compound metabolic process	33/102	417/2798	4.78246815748623e-06	8.25605029292359e-05	ANXA3/APEX1/BCLAF1/CD81/CHP1/DDX39B/ERC1/ERLIN2/FUS/HNRNPA1/HNRNPA2B1/HNRNPAB/HNRNPC/HNRNPDL/HNRNPK/HNRNPL/HNRNPR/HNRNPU/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/PTBP1/SNX6/SRSF7/TARDBP/TFAM/XRCC6	33	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:2000112	regulation of cellular macromolecule biosynthetic process	33/102	418/2798	5.04925139433614e-06	8.28077228671127e-05	ADAR/ANXA3/APEX1/BCLAF1/CD81/CHP1/DDX39B/EIF3E/EIF4A3/ERC1/ERLIN2/HNRNPA1/HNRNPA2B1/HNRNPAB/HNRNPC/HNRNPDL/HNRNPK/HNRNPR/HNRNPU/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/SNX6/SRP9/TARDBP/TFAM/XRCC6	33	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006405	RNA export from nucleus	7/102	21/2798	5.32162076855752e-06	8.31186481946127e-05	DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/NUP85/SRSF7/XPOT	7	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006353	DNA-templated transcription, termination	5/102	9/2798	6.55378683999391e-06	9.77110037962729e-05	CPSF7/DDX39B/EIF4A3/SNRPD3/SRSF7	5	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0009890	negative regulation of biosynthetic process	19/102	170/2798	6.886386553192e-06	9.82058604107381e-05	ADAR/APEX1/BCLAF1/EIF3E/EIF4A3/ERLIN2/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPR/HNRNPU/LIMS1/PA2G4/PARP1/RAP1A/SNX6/SRP9/TARDBP/XRCC6	19	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0031327	negative regulation of cellular biosynthetic process	18/102	158/2798	9.51965231857067e-06	0.000130101915020466	ADAR/APEX1/BCLAF1/EIF3E/EIF4A3/ERLIN2/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPR/HNRNPU/LIMS1/PA2G4/PARP1/SNX6/SRP9/TARDBP/XRCC6	18	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0032774	RNA biosynthetic process	31/102	402/2798	1.80890652711813e-05	0.000237328536357898	ANXA3/APEX1/BCLAF1/CD81/CHP1/CPSF7/DDX39B/EIF4A3/ERC1/ERLIN2/FUS/HNRNPA2B1/HNRNPAB/HNRNPDL/HNRNPK/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/RPL23/SNRPD3/SNX6/SRSF7/TARDBP/TFAM/XRCC6	31	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051028	mRNA transport	7/102	25/2798	1.95006291640987e-05	0.000246007937147091	DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPA3/NUP85/SRSF7	7	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0009889	regulation of biosynthetic process	35/102	488/2798	2.140617395586e-05	0.000260045372500818	ADAR/ANXA3/APEX1/BCLAF1/CD81/CHP1/DDX39B/EIF3E/EIF4A3/ERC1/ERLIN2/FUS/HNRNPA1/HNRNPA2B1/HNRNPAB/HNRNPC/HNRNPDL/HNRNPK/HNRNPR/HNRNPU/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/RAP1A/SNX6/SRP9/TARDBP/TFAM/XRCC6	35	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0048024	regulation of mRNA splicing, via spliceosome	5/102	11/2798	2.26631130347725e-05	0.000265482181264478	HNRNPA2B1/HNRNPK/HNRNPL/PTBP1/SRSF7	5	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051169	nuclear transport	14/102	109/2798	2.7018971654828e-05	0.000305593886302882	BANF1/CHP1/DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/NPM1/NUP85/PARP1/PSIP1/RPL23/SNRPD3/SRSF7/XPOT	14	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0031324	negative regulation of cellular metabolic process	29/102	371/2798	2.88161240743682e-05	0.000315056289879759	ADAR/APEX1/BCLAF1/BUB3/CAST/CHP1/CSK/DMD/EIF3E/EIF4A3/ERLIN2/GLG1/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPR/HNRNPU/IQGAP1/LIMS1/NPM1/PA2G4/PARP1/PTBP1/SNX6/SRP9/SRSF7/TARDBP/XRCC6	29	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0031326	regulation of cellular biosynthetic process	34/102	475/2798	3.11596262265071e-05	0.000329688948461107	ADAR/ANXA3/APEX1/BCLAF1/CD81/CHP1/DDX39B/EIF3E/EIF4A3/ERC1/ERLIN2/FUS/HNRNPA1/HNRNPA2B1/HNRNPAB/HNRNPC/HNRNPDL/HNRNPK/HNRNPR/HNRNPU/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/SNX6/SRP9/TARDBP/TFAM/XRCC6	34	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:1903311	regulation of mRNA metabolic process	6/102	19/2798	3.73879665468906e-05	0.000363987767125541	HNRNPA2B1/HNRNPK/HNRNPL/HNRNPR/PTBP1/SRSF7	6	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0000245	spliceosomal complex assembly	5/102	12/2798	3.77304392752086e-05	0.000363987767125541	DDX39B/PSIP1/SF3B1/SNRNP200/SNRPD3	5	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:2001251	negative regulation of chromosome organization	5/102	12/2798	3.77304392752086e-05	0.000363987767125541	BUB3/HNRNPA1/HNRNPC/HNRNPU/PARP1	5	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0050657	nucleic acid transport	8/102	38/2798	4.67537563825576e-05	0.000414465732256186	DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPA3/NUP85/SRSF7/XPOT	8	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0050658	RNA transport	8/102	38/2798	4.67537563825576e-05	0.000414465732256186	DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPA3/NUP85/SRSF7/XPOT	8	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051236	establishment of RNA localization	8/102	38/2798	4.67537563825576e-05	0.000414465732256186	DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPA3/NUP85/SRSF7/XPOT	8	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051254	positive regulation of RNA metabolic process	16/102	146/2798	5.19462095820453e-05	0.00044837780902397	BCLAF1/CD81/DDX39B/ERLIN2/HNRNPAB/HNRNPK/HNRNPR/ILF2/MYO6/NPM1/NUP85/PARP1/PCBP1/TARDBP/TFAM/XRCC6	16	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	19/102	197/2798	5.84556219912523e-05	0.000449375590647103	ANXA3/APEX1/BCLAF1/CD81/DDX39B/ERLIN2/HNRNPA1/HNRNPAB/HNRNPK/HNRNPR/ILF2/MYO6/NPM1/NUP85/PARP1/PCBP1/TARDBP/TFAM/XRCC6	19	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006406	mRNA export from nucleus	5/102	13/2798	5.95445313034922e-05	0.000449375590647103	DDX39B/EIF4A3/HNRNPA2B1/NUP85/SRSF7	5	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0050684	regulation of mRNA processing	5/102	13/2798	5.95445313034922e-05	0.000449375590647103	HNRNPA2B1/HNRNPK/HNRNPL/PTBP1/SRSF7	5	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus	5/102	13/2798	5.95445313034922e-05	0.000449375590647103	DDX39B/EIF4A3/HNRNPA2B1/NUP85/SRSF7	5	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	15/102	132/2798	5.97920104711802e-05	0.000449375590647103	APEX1/BCLAF1/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPU/LIMS1/PA2G4/PARP1/PTBP1/SNX6/SRSF7/TARDBP/XRCC6	15	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:1903506	regulation of nucleic acid-templated transcription	26/102	326/2798	6.028209142827e-05	0.000449375590647103	ANXA3/APEX1/BCLAF1/CD81/CHP1/DDX39B/ERC1/ERLIN2/FUS/HNRNPA2B1/HNRNPAB/HNRNPDL/HNRNPK/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/SNX6/TARDBP/TFAM/XRCC6	26	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:2001141	regulation of RNA biosynthetic process	26/102	327/2798	6.35962305367924e-05	0.000463545858134842	ANXA3/APEX1/BCLAF1/CD81/CHP1/DDX39B/ERC1/ERLIN2/FUS/HNRNPA2B1/HNRNPAB/HNRNPDL/HNRNPK/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/SNX6/TARDBP/TFAM/XRCC6	26	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	15/102	133/2798	6.53738584487618e-05	0.000466144034156389	ADAR/BCLAF1/EIF3E/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPC/HNRNPR/HNRNPU/LIMS1/PA2G4/PARP1/SNX6/SRP9/XRCC6	15	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0071426	ribonucleoprotein complex export from nucleus	6/102	21/2798	7.04534584448989e-05	0.000491675199360146	DDX39B/EIF4A3/HNRNPA2B1/NUP85/SRSF7/XPOT	6	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0010557	positive regulation of macromolecule biosynthetic process	18/102	183/2798	7.2716810778547e-05	0.000496898206986738	BCLAF1/CD81/CHP1/DDX39B/EIF4A3/ERLIN2/HNRNPA1/HNRNPAB/HNRNPK/ILF2/MYO6/NPM1/NUP85/PARP1/PCBP1/TARDBP/TFAM/XRCC6	18	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0045893	positive regulation of transcription, DNA-templated	15/102	136/2798	8.49631062619716e-05	0.00054642938929268	BCLAF1/CD81/DDX39B/ERLIN2/HNRNPAB/HNRNPK/ILF2/MYO6/NPM1/NUP85/PARP1/PCBP1/TARDBP/TFAM/XRCC6	15	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:1902680	positive regulation of RNA biosynthetic process	15/102	136/2798	8.49631062619716e-05	0.00054642938929268	BCLAF1/CD81/DDX39B/ERLIN2/HNRNPAB/HNRNPK/ILF2/MYO6/NPM1/NUP85/PARP1/PCBP1/TARDBP/TFAM/XRCC6	15	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:1903508	positive regulation of nucleic acid-templated transcription	15/102	136/2798	8.49631062619716e-05	0.00054642938929268	BCLAF1/CD81/DDX39B/ERLIN2/HNRNPAB/HNRNPK/ILF2/MYO6/NPM1/NUP85/PARP1/PCBP1/TARDBP/TFAM/XRCC6	15	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0071166	ribonucleoprotein complex localization	6/102	22/2798	9.40335525406323e-05	0.000593134716025527	DDX39B/EIF4A3/HNRNPA2B1/NUP85/SRSF7/XPOT	6	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006355	regulation of transcription, DNA-templated	25/102	319/2798	0.000116645609173558	0.000721882260545794	ANXA3/APEX1/BCLAF1/CD81/CHP1/DDX39B/ERC1/ERLIN2/HNRNPA2B1/HNRNPAB/HNRNPDL/HNRNPK/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/SNX6/TARDBP/TFAM/XRCC6	25	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051168	nuclear export	8/102	43/2798	0.000119142869904528	0.000723682617197872	CHP1/DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/NUP85/SRSF7/XPOT	8	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051173	positive regulation of nitrogen compound metabolic process	20/102	226/2798	0.000124761490143254	0.000744032159399767	ANXA3/APEX1/BCLAF1/CD81/DDX39B/EIF4A3/ERLIN2/HNRNPA1/HNRNPAB/HNRNPK/HNRNPR/ILF2/MYO6/NPM1/NUP85/PARP1/PCBP1/TARDBP/TFAM/XRCC6	20	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0015931	nucleobase-containing compound transport	8/102	45/2798	0.000166694973064135	0.000976356270804217	DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPA3/NUP85/SRSF7/XPOT	8	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0010604	positive regulation of macromolecule metabolic process	31/102	450/2798	0.00017141612812526	0.000986394561843603	ADAR/ANXA3/APEX1/BCLAF1/BUB3/CD81/CHP1/CSK/DDX39B/EIF4A3/ERLIN2/HGS/HNRNPA1/HNRNPAB/HNRNPK/HNRNPR/HNRNPU/ILF2/IQGAP1/ITGB8/LIMS1/MYO6/NPM1/NUP85/PARP1/PCBP1/RAP1A/SF3B1/TARDBP/TFAM/XRCC6	31	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006403	RNA localization	8/102	49/2798	0.000308984535061307	0.00174736081896739	DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPA3/NUP85/SRSF7/XPOT	8	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006913	nucleocytoplasmic transport	12/102	105/2798	0.000331051031969594	0.00184041929637334	CHP1/DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/NPM1/NUP85/PARP1/RPL23/SNRPD3/SRSF7/XPOT	12	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0000723	telomere maintenance	6/102	28/2798	0.000397271477526075	0.00217175074380921	APEX1/HNRNPA1/HNRNPC/HNRNPU/PARP1/XRCC6	6	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0043484	regulation of RNA splicing	5/102	19/2798	0.000451556243552564	0.00242804012926625	HNRNPA2B1/HNRNPK/HNRNPL/PTBP1/SRSF7	5	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0032200	telomere organization	6/102	29/2798	0.000486264726712779	0.00257249726389986	APEX1/HNRNPA1/HNRNPC/HNRNPU/PARP1/XRCC6	6	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0031328	positive regulation of cellular biosynthetic process	18/102	213/2798	0.000510724881469316	0.00265901208130056	BCLAF1/CD81/CHP1/DDX39B/EIF4A3/ERLIN2/HNRNPA1/HNRNPAB/HNRNPK/ILF2/MYO6/NPM1/NUP85/PARP1/PCBP1/TARDBP/TFAM/XRCC6	18	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0070848	response to growth factor	12/102	111/2798	0.00055685217881899	0.00285386741644733	ANXA3/CPNE3/EIF4A3/GLG1/HNRNPA1/HNRNPM/IQGAP1/LIMS1/PARP1/PTBP1/RAP1A/SNX6	12	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006366	transcription from RNA polymerase II promoter	15/102	162/2798	0.00060572641400719	0.00305658867375936	CD81/CPSF7/DDX39B/EIF4A3/ERLIN2/HNRNPA2B1/HNRNPK/MYO6/PARP1/PCBP1/SNRPD3/SRSF7/TARDBP/TFAM/XRCC6	15	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051253	negative regulation of RNA metabolic process	12/102	113/2798	0.000656386343639894	0.00326204122293765	APEX1/BCLAF1/HNRNPA2B1/HNRNPK/LIMS1/PA2G4/PARP1/PTBP1/SNX6/SRSF7/TARDBP/XRCC6	12	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0009891	positive regulation of biosynthetic process	18/102	219/2798	0.000716501203322268	0.00350764768193588	BCLAF1/CD81/CHP1/DDX39B/EIF4A3/ERLIN2/HNRNPA1/HNRNPAB/HNRNPK/ILF2/MYO6/NPM1/NUP85/PARP1/PCBP1/TARDBP/TFAM/XRCC6	18	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0009893	positive regulation of metabolic process	31/102	494/2798	0.000944805357820918	0.00455729643184207	ADAR/ANXA3/APEX1/BCLAF1/BUB3/CD81/CHP1/CSK/DDX39B/EIF4A3/ERLIN2/HGS/HNRNPA1/HNRNPAB/HNRNPK/HNRNPR/HNRNPU/ILF2/IQGAP1/ITGB8/LIMS1/MYO6/NPM1/NUP85/PARP1/PCBP1/RAP1A/SF3B1/TARDBP/TFAM/XRCC6	31	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0022618	ribonucleoprotein complex assembly	8/102	58/2798	0.00100041001742438	0.004731509809668	ADAR/DDX39B/EIF3E/NPM1/PSIP1/SF3B1/SNRNP200/SNRPD3	8	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0071705	nitrogen compound transport	15/102	170/2798	0.00100977343499012	0.004731509809668	CAMK2G/DDX39B/EIF4A3/HNRNPA1/HNRNPA2B1/HNRNPA3/NUP85/RAP1A/SLC25A20/SLC3A2/SLC7A10/SLC7A5/SRSF7/TARDBP/XPOT	15	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0051052	regulation of DNA metabolic process	8/102	61/2798	0.00140383482553981	0.00648532144756422	ANXA3/APEX1/DDX39B/HNRNPA1/HNRNPC/HNRNPU/NPM1/PARP1	8	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0071826	ribonucleoprotein complex subunit organization	8/102	62/2798	0.001563883351489	0.00709126157584521	ADAR/DDX39B/EIF3E/NPM1/PSIP1/SF3B1/SNRNP200/SNRPD3	8	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0071363	cellular response to growth factor stimulus	11/102	108/2798	0.00157823809462409	0.00709126157584521	CPNE3/EIF4A3/GLG1/HNRNPA1/HNRNPM/IQGAP1/LIMS1/PARP1/PTBP1/RAP1A/SNX6	11	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0060249	anatomical structure homeostasis	9/102	78/2798	0.00178867228669258	0.00792816905452926	APEX1/CSK/DMD/GNAS/HNRNPA1/HNRNPC/HNRNPU/PARP1/XRCC6	9	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0017148	negative regulation of translation	6/102	37/2798	0.00187790144482754	0.00821268898537913	ADAR/EIF3E/EIF4A3/HNRNPA2B1/HNRNPR/SRP9	6	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
